,Habituality,Sentence
1382,1,"He be mad when I bring her up around him.
"
1383,1,"He be real mad, I don't care.
"
1384,1,"And you know how girls be.
"
1385,-1,"You was tryna be sh- I saw you throwing that shade right there.
"
1386,-1,"You gotta be sixteen to drive.
"
1387,1,"Let me not be getting in his business.
"
1388,-1,"Y'all be safe when y'all out.
"
1389,-1,"And Shirlene will not be getting a ride.
"
1390,-1,"Cause Yahira gonna be at college.
"
1391,-1,"Okay, how late are you gonna be?
"
1392,-1,"It's bas- Or what do you want it to be?
"
1393,-1,"Like, every person you see they will say, be safe before the end of a conversation.
"
1394,-1,"That shouldn't be happening.
"
1395,-1,"And like, when I talk to my grandfather about it- what's happening, he said back when they used to be kids the neighborhood used to watch k- watch you.
"
1396,-1,"And now it's not like that, if somebody else parent get to you it's gonna be another altercation that's trying to solve that first altercation.
"
1397,-1,"The people you grew up with, you still gotta be careful who your friends is.
"
1398,-1,"Was like, yeah sure, but I didn't know if he was gonna be gone from Wednesday to Saturday I thought it was a one day thing.
"
1399,-1,"So that's when we had like- that's when we started hanging out with older people like, we would be hanging with a certain crowd it won't happen again.
"
1400,1,"They be like, even though he from that neighborhood he- we- they know I'm not gonna do nothing because I want better for myself.
"
1401,-1,"He's not gonna be that person.
"
1402,-1,"Uh, it really was like a neighborhood sit somewhere else with neighborhood like- So it would be segregated by neighborhoods?
"
1403,1,"Yeah but some people from one neighborhood- like I be from a neighborhood in- and I'm friends with you, Mm-hm.
"
1404,1,"so like I be like, that's not gonna happen in school, you know like, if it happen outside of school it's different.
"
1405,-1,"But in school like we'll be cool, we even play basketball.
"
1406,-1,"Come down here if I tell him, he would be like- he will talk you, he would- he won't yell at you but he'll talk to you about it like he will show you that it's not f- good to fight but if it comes down to it if you had to protect yourself it's different but now, like I got in a altercation a couple days ago, and he was like, that's not- cause people don't fight with their hands no more.
"
1407,-1,"And I know how our family is like, her sister came down here ready to fight, her mom did, it's just not- And we had to- Chelsie and myself had to calm them down and tell 'em, after they calmed me down first, well, I told 'em like, it's not- It's gonna be another problem.
"
1408,-1,"Cause they know how she look and if y'all go around there with her it's gonna be a different thing.
"
1409,-1,"But now I just tell her protect herself at all times, don't- like, if you see a group of people coming or you see something that does- about to be playing like just find the quickest way to get out the situation.
"
1410,-1,"But now in- being a, um, I'll say a young man who wanted to be successful, it's a whole different ball game cause I don't have- first of all I gotta finds a way to provide for myself.
"
1411,-1,"Like if you tell me I'll take the kids outside it can be ninety degrees I'm'a complain but I will still do it.
"
1412,-1,"Like yeah, that's gonna be your first option.
"
1413,-1,"Like what would that message be?
"
1414,-1,"You stay gotta be aware.
"
1415,-1,"um, but this used to be Chocolate City.
"
1416,-1,"You not gonna be roaming the streets.
"
1417,1,"Or it be like, if it's a group of black kids walking dow- like I'll give example, if a group of black kids walking down Eighth Street it's all white people.
"
1418,-1,"They gonna be like- they gonna feel like this not even they city no more.
"
1419,-1,"So if I was sitting in the audience can you give me the speech or what you remember, it don't have to be exact word for word.
"
1420,-1,"And that's not what I wanted to be.
"
1421,-1,"And it just show you like the program that I was- I'm in or I'll like thank the Civic Leaders Program for giving me the opportunity to be somebody.
"
1422,-1,"Like that's why I like to be down here because I'm not- I'm never sitting around.
"
1423,-1,"Uh, I want to be a photographer.
"
1424,-1,"So, when people get kicked out of some schools, they come to our school, or at least that's how it used to be.
"
1425,-1,"And I thought, wow, some guy had uh, the idea that it should be automotive shop for the students to uh, work on cars.
"
1426,-1,"I mean, I would never be down there as often, so when I go out to skateboard, it was always uh- Either what- I had one neighborhood friend that skateboarded with me, Mm-hm.
"
1427,1,"Uh, I just always like, just be in different neighborhoods.
"
1428,-1,"And my aunt after work, she would be at my house sometimes.
"
1429,-1,"So, I got to be over there on the weekends, and that helped me get away from it all.
"
1430,-1,"Like, just not be just in Southeast my whole life.
"
1431,-1,"So I- Cause you was always doin- dow Waldorf I talk to her when I'm in the house but other than that I'll be outside all the time.
"
1432,-1,"But most of the time, he wouldn't be doing but- so much, but just like hanging around by the stores with his friends, or he j- j- just take me out with him.
"
1433,1,"And I probably just be sitting out there with him or sitting in the car for a few minutes or hours, and then he'd bring me back in the house but he's always come pick me up at o- some point in time before he um- He got locked up.
"
1434,-1,"But when we used to hang around in his grandmother office, and then he used to be like, okay.
"
1435,-1,"We was up the street skateboarding or I'd be at my friend house playing video games.
"
1436,1,"Or we be like making skate videos like, um, editing our skate videos- the- the videos that we record throughout the day, and putting them together, watching a movie or something like that at my friend's house.
"
1437,-1,"And after you run out of the um- after that time period is over, if you're not finished, your stuff possibly can be deleted.
"
1438,-1,"And it's possible that people that's older than you can be wrong sometimes.
"
1439,-1,"So, if you had to choose one of your- If you had to choose one experience and say, this was my best experience at the Boys and Girls Club, what would it be?
"
1440,-1,"Mm, it probably would be maybe just like, going on a field trip.
"
1441,-1,"And another one uh- I think it had to be - It was a laser tagging uh, field trip that we went on.
"
1442,1,"I mean I never had intent to just be in the streets, but I mean a lot of people who- who pass away ever- like, everyday- day to day, they- They don't have just like, no intent on just being somewhere d- doing something they had no business.
"
1443,1,"They could just be walking around r- I mean, doing something uh, wrong place wrong time.
"
1444,-1,"I used to always just be kind of just like, paranoid, looking behind me and watching out just for people and cars and things like that because I w- I would never- I- I never knew if something would just happen to me just coming down the hill because I just know that like, it's- it's crazy people out there just in my neighborhood.
"
1445,-1,"Just so that I wouldn't be in their area anymore, and just things like that.
"
1446,-1,"I will be attending um, Johnson C Smith um, within like, the next two weeks.
"
1447,-1,"But, most likely, I'm'a just get there and be undecided because I'm not very sure.
"
1448,-1,"So um, I've been thinking about- as far as photography, I want to be a self taught photographer.
"
1449,-1,"I don't really want to waste any money on class or learning it in school when I can be um, just gaining some other skills while I'm in um, college.
"
1450,-1,"I want to be like, a self taught photographer, and then, other than that, I want to just uh, maybe do Business Management or Entrepreneurship or something like that.
"
1451,-1,"Yes, I'll be the first one in my family to attend um, college.
"
1452,-1,"So, if you could leave a piece of advice to your generation or you know, to the other kids at the Boys and Girls Club or- or the people in DC, what would that piece of advice be?
"
1453,-1,"Uh, that piece of advice would be um, hard times doesn't last.
"
1454,-1,"and it's a possibility for everyone to be into- to pol- uh, to politics, ending up broadening your horizon if you actually pick up the newspaper, and over time of just me reading newspaper, I picked up on different type of things.
"
1455,-1,"It has to be um, Freedom Plaza.
"
1456,-1,"And good place to chill as long as you find some shade, and the CVS across the street where you can get something to drink,  cause if not you gonna be hot.
"
1457,-1,"You gonna be hot.
"
1458,-1,"Like- like my mother and my grandmother used to tell me, they used to be like, I used to walk throughout the house without turning out one light.
"
1459,-1,"So you just like, used the hill to be a slide?
"
1460,-1,"It used to be funny.
"
1461,-1,"And then my mother used to argue with my grandmother, and it used to be funny.
"
1462,-1,"I used to be in the house laying on the floor, laughing.
"
1463,-1,"And  he used to have- he- he used to be joning on people.
"
1464,-1,"It used to be funny.
"
1465,-1,"He taught me how like, to like- he taught me like how to grow up to be a man.
"
1466,-1,"But it would be just our household, so- our immediate household.
"
1467,-1,"Yeah, I'm about to be fourteen.
"
1468,-1,"Like say if, like, we'd be going out, make sure you get everything ready the day before that.
"
1469,1,"And then that's how I be like, man.
"
1470,-1,"She gonna be laughing at us.
"
1471,-1,"We'd be running through the house looking for him.
"
1472,-1,"So, I wanna be like, Spiderman.
"
1473,-1,"Like we could be upstairs,  and all you hear downstairs is like the room to the laundry room- like the door to the laundry room.
"
1474,-1,"Like it'd be no kids in the house.
"
1475,-1,"We'd be like, what is all that noise downstairs?
"
1476,-1,"We'd be like, what?
"
1477,-1,"It used to be fun.
"
1478,-1,"Like I used to- it used to be like a roller coaster.
"
1479,-1,"Be my babies.
"
1480,1,"Now I be like- And I- I just- I- I just think back- I'm like, what was the point in doing it?
"
1481,-1,"Or when your sister had to be the one to go on field trips with you cause you c- had to have an adult.
"
1482,-1,"Then that's when- Then that's when I got to watching more of his videos, and that's when like- like every anniversary he used to have,  I used to be in there partying.
"
1483,-1,"Then that's when my grandmother used to be like, Quatisha could do whatever Michael can do.
"
1484,-1,"And the whole family would be in the living room I- doing Michael Jackson with him.
"
1485,1,"We be laughing together.
"
1486,-1,"Then that's when I used to just be the star of the show.
"
1487,-1,"He get to do the uh- You get to- tr- he get to be a part of the audition and try out process for the Wizard Girls.
"
1488,-1,"dancers to be a part of that process.
"
1489,-1,"And dance with them and be a part of their try out.
"
1490,-1,"And I'm supposed to be in it?
"
1491,-1,"Then that's when it- it just like, taught you how to be a man even more like, mentally.
"
1492,-1,"Torch Club, it just taught me how to be a leader.
"
1493,-1,"It was a leadersh- it was a leadership program, so like, I learned how to be a leader during Torch Club.
"
1494,-1,"I'd be like, hey y'all, I mighta go- mighta go sell some stuff.
"
1495,1,"We be laughing.
"
1496,1,"But like, it just be like, the stuff- like, the stuff that- the music that he teaches, like, it's like, it's just boring.
"
1497,1,"And then like,  my friends like, we just be laughing.
"
1498,-1,"So now tell me about your friends and if they're gonna be on the planet.
"
1499,1,"That be up.
"
1500,-1,"The only sch- The only school that I know that might be able to do something like that is like Kendyll.
"
1501,1,"Man, we be having a ball.
"
1502,-1,"Like I can't just sit there and be like, one two three four- No.
"
1503,-1,"Like, I'm'a be funny at the same time.
"
1504,1,"Like we stay on Facetime, and then like, we be calling each other boo and all that.
"
1505,-1,"Like I mean, it- you ain't gonna be on a school trip together?
"
1506,1,"turnt- he be like, deaw.
"
1507,1,"I be topping in there.
"
1508,-1,"It's like Danny's is like-  it used to be one down there by Thirtieth Street.
"
1509,1,"They be like, give me ten minute.
"
1510,-1,"They used to be funny.
"
1511,-1,"But it- it- it w- it used to be worse around here.
"
1512,-1,"It used to be real bad, but it's not.
"
1513,-1,"Um, > ever- everybody around there were friend- I'm still friends with a lot of people I'm- I used to be friends with, too.
"
1514,-1,"Sometime- Well, it- it didn't used to be like that, but like, I'm'a say about five, six years ago, it got really v- really violent up there.
"
1515,-1,"So do you see a difference between- because I know like- You know, we talk about the ratchet in Sa- Southeast, and but Uptown is supposed to be this whole thing.
"
1516,-1,"It's supposed to be all- Prestige and that.
"
1517,-1,"But it was different because when I got to Eastern, it was just really really ghetto and for it to be the pride of Capitol Hill, it was not the pride of Capitol Hill.
"
1518,-1,"I'm gonna be sad to see that one.
"
1519,-1,"You gonna be sad- Why?
"
1520,-1,"Because I know that it's not gonna be that many black people in the city.
"
1521,-1,"Yeah, it's not gonna be Chocolate City anymore- Don't nobody even call it Chocolate City anymore.
"
1522,1,"A D- A person from Maryland be like, no, I'm from the area.
"
1523,-1,"He was about to be in middle school.
"
1524,-1,"Like it's- i- Either you gonna really go on the straight and narrow afterwards or you just going buck wild and be like what?
"
1525,-1,"To be a youth advocate.
"
1526,-1,"So don't give up because just as it's just like him, I think it's you know, four or five more that still need somebody to be the voice, you know what I mean?
"
1527,-1,"That might be a good- Just a fresh start.
"
1528,-1,"I think it could be good, but- We still got a ways to go.
"
1529,-1,"I um- I didn't want to stay around where I live because I knew that it was gonna be a lot of people outside doing a lot of- Like,   even though my a- Uh, they just recently renovated my apartments.
"
1530,-1,"And I have a son, so I d- I don't- He doesn't- I don't want him to know how to be that- that kid.
"
1531,-1,"And I think it's be - it's- it's an a- it's an acquired I understand.
"
1532,1,"Because a lot of the- the band members were with the gangs, like they be with the hoods, and it was- it was a lot of instigating.
"
1533,-1,"It wasn't as original and not as good as it used to be.
"
1534,-1,"The go gos used to be fun.
"
1535,-1,"That may be a  you know, it's a business.
"
1536,-1,"DC used to be so rundown.
"
1537,-1,"I don't know why I'm like that but it's just- Things that everybody else can be crying about, I'm like, girl, like, it's not that serious, like, so.
"
1538,-1,"I was like, oh no we're never gonna be there, no ma'am, my lights are never gonna get cut off again like that.
"
1539,-1,"And like with my oldest son, we went like from house to house to house to house before and I was like, oh we're never gonna be without a house.
"
1540,-1,"so that we could ha- so we would never know what it is to eat, you know never know what it is to be hungry, never know what it is to- Mm-hm.
"
1541,-1,"It could be either eleventh or twelfth depending on when you started school.
"
1542,-1,"And my mother couldn't do anything on her own like she couldn't wipe her own butt, she couldn't clothe herself, she couldn't- nothing, like she had like the mind of a two year old she would just go in the kitchen, cut on the stove and like- and just walk away, and stuff be on the stove, like so you had to tend to her like a- all the time.
"
1543,-1,"So this was a summer job that's gonna be over by the end of the summer.
"
1544,-1,"Now I think I wanna be interior decorator but it's just like that's my plan B like, although- n- no one can take my education away from me so I was just like, okay I'm'a just go get a degree in something, bam.
"
1545,-1,"I'm just one of those constructive people like I have to be doing something.
"
1546,-1,"I have to be doing something, like, so.
"
1547,-1,"I'm trying to get her to do it but Jessie can't do hers until six, so I- I don't know if she wanted to be by five.
"
1548,-1,"Now that'd be a interesting interview.
"
1549,-1,"And he was like very like verbally abusive like, he would be like, oh you're not pretty, you're this, that, and all that so, I just knew that relationship wasn't work but it was just like one of those convenient things, okay, he's here for my rent, just gonna enjoy it and then go from there.
"
1550,-1,"But it was like I- it felt weird that day because its like, okay I'll be right back- I don't know where I went but once I came back he was down there talking to another girl.
"
1551,-1,"Because he had broken up with some girl a while ago, so he just was messing with just I guess girls that he- she didn't think that he should be with.
"
1552,-1,"He was like,  I thought I could be the, uh, side dude but I can't, you know, I got feelings for you, like so whatchu gonna do?
"
1553,1,"Zan one day she be - Like I was like, I couldn't even go to my friends and ask them for advice like, who should I talk to?
"
1554,-1,"E- every guy shows to be a nice person while they around your family but behind closed doors that's not how they treat you.
"
1555,-1,"It doesn't have to be the exact day but maybe you could saying it's December, next July, or something like just give me a round about and it's not that so, that's why the ring is no longer on my finger.
"
1556,-1,"But it's just like, I still wanted to be a mentor you know, we- we can do  a later time in life, like now.
"
1557,-1,"It just- I don't know, when life- I'm one of those people when life does hit, like I'm not gonna be sad or none of that but I'm more of a like- I just distance myself from everybody.
"
1558,-1,"Yeah I don't- I can't say like I have, so to be able to take my kids there was amazing.
"
1559,-1,"um, and that may be your thing, what's- is that your favorite thing to do?
"
1560,-1,"So the be - and it didn't happen to me but I was able to witness was- having to call to Maryland because Lakendria almost died.
"
1561,-1,"And we were in the middle of it so I didn't know what was in the water, I just knew we had to get back on this boat, and I knew the only way to get back on it is you had to be calm.
"
1562,-1,"Oh thank god at least I won't be there by myself.
"
1563,-1,"And it's like um- Right now though inaudible I'm- I'm- I wanna go on trips like inside the United States cause I do wanna be able to take my mom p- like I don't know if she can go out of the country.
"
1564,-1,"So- but it- that might be a reason why all my relationships is like- because I'm not the, um, Submissive type?
"
1565,-1,"No, really like I was talking to Trystan's mom and his sister and I was like, you know what would be like the perfect labor, like if I'm driving and then it's like, oh my god it's time, and I gotta pull over on the side of the road.
"
1566,-1,"Oh my god, she gonna be so thankful.
"
1567,-1,"Yeah, like-  So if somebody come in here stick up this joint you'll be thrilled.
"
1568,-1,"I'm not gonna be the one like, stuck in shock like I know exactly what I would do like to try to get out that situation.
"
1569,-1,"inaudible I ain't- I'm too- I'm too old to be dare-deviling I'm finna die inaudible  Mm-mm.
"
1570,-1,"Cause it's like you- you just gotta be careful in DC it's like you always run into either- that's why I don't like go gos.
"
1571,1,"I have to say that you and Denise be knowing all the places.
"
1572,-1,"but I'm r- I hear it's going to be something.
"
1573,-1,"Like they'll be like, where's the White House?
"
1574,-1,"I, uh, actually wanted to be a tour guide when I was-  I don't know that was just this crazy part of my- but I- they're really interesting they have some interesting stories.
"
1575,-1,"And I thought the food would be expensive because where it's at but no it was like the prices are amazing like- Nick's Riverside Grill.
"
1576,-1,"I've ne- okay so I'm'a have to go over there, I was just thinking like what am I gonna eat today, that might be - And Carrell got me on to Danny's too, like- I'm- I've only tried- I've tried a few different- I've tried Eddie's- Eddie's.
"
1577,-1,"I mean it's like eighteen miles but in DC eighteen miles could be like a hour.
"
1578,-1,"Or it could be like twenty minutes, you know what I mean, just depending on traffic.
"
1579,-1,"That's- the- those the ones I feel like it need to be a police officer on every car.
"
1580,-1,"Um, so what happened when like, people who weren't necessarily like- Let's say your friends wanted to come over or like, family member that didn't live in that neighborhood, or if they did- you know, they were new, or friends or whatever, how would- you know, would they feel safe coming over would- would you have to like be like, nah he cool, she cool?
"
1581,-1,"And then I didn't wanna be a big sister anymore because it's too much responsibility, you have to learn how to change diapers, you have to learn how to feed the baby, watch the baby.
"
1582,-1,"He will call, he texts, he wants to be up under me, I'm too old for this.
"
1583,-1,"But apparently in six years she'll be living with me You'll have a roommate.
"
1584,-1,"Cause I had a very lenient childhood, but it's different now so I feel like I have to be more strict.
"
1585,-1,"It was just a shooting up the street, over the weekend in broad daylight, and you wanna be going out with your friends to hang out.
"
1586,-1,"you have to be more cautious of the things that they are doing because even in our area like, the little girl Relisha Rudd, she's the same age as my sister, and she went missing.
"
1587,-1,"Because they wanna like, make friends that they don't know, and you're like trying to explain it to them why you can't do that cause it might be an adult.
"
1588,-1,"It just like, you gotta be more careful what's going on.
"
1589,-1,"Nobody wants to be in any of those things like, especially when you go to school all day, you have to see these teachers all day.
"
1590,-1,"They wanted me to be the captain and they wanted me to graduate, I couldn't do it.
"
1591,-1,"My mother was terrified, she's like, you're gonna have to go and there's only gonna be two chaperones.
"
1592,-1,"I'm like, get over it, it's gonna be fine, like gonna have fun.
"
1593,-1,"Cause my mother would be like, oh my god, you're at the club so late are you really doing X Y and Z?
"
1594,-1,"So I just have to second think like, if- whenever I have children I know if they're going to Boys and Girls Club or something similar like, be understanding of what the staff are going through with your children.
"
1595,-1,"Or with kids in general, cause it can be really stressful, so.
"
1596,-1,"I was like, they gotta be having fun.
"
1597,-1,"But if I had to choose one, I would be the teenager there cause I feel like you don't have as much responsibility, you kind of can just go with the flow of things and don't have to worry.
"
1598,1,"You will always be hearing something.
"
1599,-1,"A lot of people I went to school with they still live around here or their families or whatever the case may be.
"
1600,-1,"Apartments, people hanging out on the corners all night, like you can't really, you know, do what you wanna do cause you're worried- Like my mom used to always to be like, you gotta come in before dark.
"
1601,1,"Just let me be out too.
"
1602,-1,"Whereas Northwest and even Southwest, cause when you go to Southwest it used to be - So where I went to Ambert right down the street is Southwest.
"
1603,-1,"It used to be all urban community.
"
1604,-1,"And I feel like it didn't really change the way I felt about my neighborhood because at the time I'm'a be like, I still live around here, or I- I hang out there, I went to school there, et cetera.
"
1605,-1,"So, once I go visit, then I can decide if that's gonna be on my list.
"
1606,-1,"But, I definitely wanna go down, I don't wanna go anywhere where it's gonna be cold all the time.
"
1607,-1,"No one wants to live where it's gonna be snowing all the time.
"
1608,-1,"I can sit at home and be so happy.
"
1609,-1,"I don't wanna be the only one that's not dressed up.
"
1610,-1,"And there used to be this big daycare.
"
1611,-1,"But we could be doing the same exact thing we're doing right now, but because of what it looks on- like on the outside people would never go.
"
1612,-1,"And it looked like a place you didn't wanna be caught, you know, just out and about at a certain time.
"
1613,-1,"You probably won't be going to happy hour.
"
1614,-1,"But you just don't wanna be having to go to all them restaurant.
"
1615,1,"That's what they don't understand  I'm like, y'all be wanting to go somewhere.
"
1616,-1,"I'm not gonna be able to make it.
"
1617,1,"And be like, this place was great, yes, the- Mm.
"
1618,-1,"But they're opening up the, um, African American History Museum,  so I'm definitely gonna be there.
"
1619,1,"They be like, we could walk and then walk down here, get on the bus and walk.
"
1620,-1,"But I like- I listen to a few local artists because a lot of them I like, grew up with or- When I was in high school I was really big into wanting to be a publicist.
"
1621,-1,"Well my- my sister- yeah my older sister like, my- my older sister yeah, she was out there, you know what I'm saying, she was out there too you know what I'm saying, she's four years older than me so it was like, she was out there doing her thing having fun and stuff too but like my little sister, she was more like sheltered like by the time she got of age like she was- we already had, you know what I'm saying, established what's going on, and you ain't about to be out there doing all this and that you know what I'm saying so like, she grew up  like different from us she was r- real like  like .
"
1622,-1,"Nah my sister she actually was good in school, and my little sister now like she been- so she been- she's about to be in twelfth grade next year, she in eleventh grade this year, she done got honor roll since kindergarten.
"
1623,1,"I just- all- I just be wanting- I always- I'm still like that in ways like I just always wanted to just do what I wanna do like I'm- Nobody tell me what to do.
"
1624,-1,"I have to be my own person.
"
1625,-1,"Cause y'all- you have to be your own person?
"
1626,-1,"How did you know at that moment that okay this is gonna be my wife?
"
1627,-1,"She was trying to be sexy and shit we-   We was nervous as a motherfucker the next morning  thinking we about to pay for that motherfucking carpet.
"
1628,-1,"Yeah, I mean I could get to drinking like Patron, and then put the 'tron down to pick up the Henny and be good.
"
1629,1,"Nah the- I- I don't do the- I don't think I could do the vodka like that but I think the- the tequila I could do it like I be fucking with the tequila and the v- and the, uh- and the Cognac.
"
1630,1,"Yeah, and it be having me feeling good.
"
1631,-1,"I think it could be a nice blend for me though.
"
1632,-1,"I think it could be a nice blend for me.
"
1633,-1,"Mm-hm, you'll be like this is- Do a small version, cause it's na- that's not gonna taste good.
"
1634,-1,"But the Skins, we gonna be ready this year though, the Skins we on that ass.
"
1635,-1,"We gonna be the first team to win this division back to back in some years.
"
1636,-1,"Skins gonna be ready.
"
1637,-1,"I'm'a come back to you in December and be like, mm.
"
1638,-1,"Whatchu- you must be a Cowboys fan or something.
"
1639,-1,"I used to be a LeBron fan, I ain't gonna lie.
"
1640,-1,"He do his shit, he's about to be the first- like basically the first active billionaire athlete.
"
1641,-1,"You gotta put in your contract like, say you sign you a hundred million dollar contract and it's gonna be like, but forty million is guaranteed.
"
1642,-1,"He can't- he can't go to a team and be that number one guy and carry that team to a championship.
"
1643,-1,"And- and at the end of the day, it's still to be seen.
"
1644,-1,"I don't think it's gonna be as sweet as everybody think for Golden State just because of Bron Bron got his- he got his back up now, Kyrie, Kevin Love, they ready to ball you know what I'm saying.
"
1645,-1,"I wouldn't be surprised if they won.
"
1646,-1,"And so I w- I'm watching Toronto, I'm watching- you know I'm feeling  some kind of way- I don't even understand why this- I don't mean to be cut you- I don't even know why this series is going this long, I don't see why it's going this long.
"
1647,-1,"I told you that- we supposed to have got- we supposed to have- look, we supposed to have won the game before that one, and this one when we came back home it was supposed to be over.
"
1648,-1,"This'll be the perfect- this is the perfect time for us to have our roster the way that it is and I think Pat Riley did that on purpose.
"
1649,-1,"And he has respect for Luke Walton and I think Luke Walton is gonna be a excellent coach for the Lakers.
"
1650,-1,"And that- that needs to be his team.
"
1651,-1,"Is that gonna be his team though?
"
1652,1,"Yeah I told you she be trying to son me.
"
1653,-1,"They would be a total different team without Draymond Green.
"
1654,1,"So he's the one that be getting on them when they all slacking off and inaudible Yeah.
"
1655,-1,"You better remember even when- when Bron Bron played for us D Wade used to be getting his ass.
"
1656,-1,"You know what I'm saying, that's what made me like, I love the fucking Heat and like- Don't make me get on the Redskins, we'll be talking for two more hours.
"
1657,1,"My sister she real, she more- you know what I'm saying, she be chilling or whatever you know what I'm saying, but like it got me more so than her.
"
1658,-1,"I was still living around Kentland this time, so I had to be no more than probably like eleven.
"
1659,-1,"Like, I know like I moved in Seat Pleasant at fifteen so, I had to be probably like, eleven, twelve years old.
"
1660,1,"Even in elementary school, w- I- I remember like, it was just- Sixth grade, I had the baddest little joint in there, like I always just had the little bad joints and- But I never noticed when I was younger that- I never noticed that when I was younger how dudes be hating, I never knew that.
"
1661,-1,"Because somebody was always like, yeah why you doing this and you doing that, like you dealing with- But what crazy what it was that after I would break up with her, one of my men would always be - like, get her.
"
1662,1,"I be using that shit.
"
1663,1,"Maybe cause I was out Landover, I heard us saying that first though before everybody, now you be hearing everybody saying bruh.
"
1664,-1,"It's just like, it's too much, like when I li- hear something, I wanna hear a nice little beat to the right level that it's supposed to be on, the right tone and all that like, you know what I'm saying.
"
1665,-1,"Like he say little shit that people be, you know what I'm saying, like everybody know him for the- being the booty eating dude and kicking the girl in the chest, but he a deep dude, if you listen to his music he a deep dude, like he a deep brother.
"
1666,-1,"And it's just like, dudes- to sit here and say- and anybody to sit here and just be like, I have no type of feelings or no type of energy or anything towards like what our people went through for four hundred years, I can't say that.
"
1667,-1,"I'm not s- sitting here and saying, alright, it's over with now let's all be friends.
"
1668,-1,"for four hundred years, cause now it ain't going like that for the last a hundred years we gotta just be friends.
"
1669,-1,"That mean I'm'a be a fake.
"
1670,-1,"My last question, if you had to leave a piece of advice, especially now that you're ha- about to have a new daughter, new wife and- what would that piece of advice be?
"
1671,-1,"And it doesn't have to be just to- to her or to the baby, but to anyone.
"
1672,-1,"Listen to that person, don't be like, well I can step over the shit.
"
1673,-1,"To the young dudes, if you see what's going on out here and you see that, the streets is not where you supposed to be.
"
1674,-1,"Cause that person will always- Why- Say, I wanna be like you.
"
1675,1,"You know what I'm saying so it just like it's a lot of that that be going on with the youngins I just like try to tell them like, find your own lane, man.
"
1676,-1,"Be the best at shoveling shit, a nigga can respect that.
"
1677,-1,"It's the same thing, you can't change one letter or something and be like, oh, and put a different meaning on it.
"
1678,-1,"But at end of the day, it shouldn't be used.
"
1679,-1,"Nigger, nigga whatever, it shouldn't be used, a degrading word.
"
1680,1,"Um, most people from DC they like to, uh, be dressed nice, have nice things.
"
1681,-1,"It's like a- a area where it's dog eat dog and everybody tryna be on the top.
"
1682,-1,"Uh, I mean to be honest with you I just think it's, uh, it's a lack of communications amongst people from the same area but just different parts of the area.
"
1683,-1,"Like for instance, it can be one neighborhood over here that might not like a neighborhood over here for no reason at all, and it separates them so I mean it makes them wanna have a little bit more than this neighborhood.
"
1684,-1,"Be seen better, well- when, uh, nicer cars and nicer clothes than the people from where you rival.
"
1685,-1,"A lot of money was made selling drugs so it's always gonna looked at- be looked at as something that's prosperous.
"
1686,-1,"But  also in the neighborhoods you have certain families that don't like each other, so certain- certain people you probably wouldn't be cool with if y'all families had a history of not liking each other, stuff like that though.
"
1687,-1,"I mean I don't- To be honest with you- I mean like you grew up- you been around there, your family been around there, their family, your family before that been around there, next thing you know, someone comes and buys it and then- and they raise the price that you can't afford it.
"
1688,-1,"So I mean it's- it's a lot of things that's changed, um, but I- Oh, I do s- I do feel like no matter how much they- the, um, changing of building, I think the- the city itself is always gonna be like, unique.
"
1689,-1,"What are some of the slangs that used to be said- words back then?
"
1690,-1,"Well back then  we used to always be like- I don't know.
"
1691,1,"And you be like, uh, I can't believe this.
"
1692,1,"And I be like, kill moe.
"
1693,-1,"It has to be something that happened on the other side to make you say kill moe.
"
1694,1,"Yeah, or- or some people just be like kill.
"
1695,1,"Like that's crazy- Instead of saying that's crazy, they be like kill.
"
1696,-1,"You know, like if you hear something like like something happened in the news or something, be like kill.
"
1697,-1,"But it used to be called- It actually was called Wild World.
"
1698,-1,"I don't know if that was just a name they was- they cam- I don't- I can't even be honest- I don't even know.
"
1699,-1,"And even to this day, like me getting older, like she'll still be like where you wanna go out to eat after your birthday, so.
"
1700,1,"Like a lot of times people, um, in like the church, be closer to their church family than their real families.
"
1701,-1,"Um, to be honest with you I just- I just believe there is a higher power and I- I mean beyond that, I'm still searching for any- or everything else, all of the- you know, I don't really have a belief far as a religion.
"
1702,-1,"Like I don't have a religion that I could be like oh I'm this or that.
"
1703,-1,"I wanna be able to have knowledge on everything.
"
1704,-1,"I don't- I don't wanna have to be confined to restrictions of different things just by somebody's belief or pretty much offer their opinions.
"
1705,-1,"And a lot of people are boxed in by just believing somebody else's opinion, to be honest with you.
"
1706,-1,"You might not even wanna be a Redskin fan no more, you know what I mean?
"
1707,-1,"Or you might just be like, I do- never even wanted to- How did I know I liked the Redskins?
"
1708,-1,"Like- and- and- and I don't- I- I'd rather not be in a box.
"
1709,-1,"I'd be aksing questions in, um, in Sunday School as a little kid and nobody would have a answer for me.
"
1710,-1,"And, um, she was like, uh, I used to always aks her questions so she'd be like, boy you stop aksing me all these questions.
"
1711,-1,"I- I ain't really know, but at some point, I- I kind of like wanted to be like- I- I wouldn't say accepted, but I just- I started listening what was going on and I never really could understand like like I always feel like it was a pattern.
"
1712,-1,"It just show you the- the power of the brain and how it can be tricked.
"
1713,-1,"If- if you allow it to, and you will be in a daze.
"
1714,-1,"Like, this is- Everybody should be mad about this.
"
1715,-1,"Just trying to like, get myself in order to be - Can you give me an example of what you just said?
"
